,GDP성장률,금리,거래건수,주택가격변동률
2006-01-01,6.4,4.0,158977.0,0.31
2006-04-01,4.8,4.25,255187.0,0.82
2006-07-01,5.1,4.5,234510.0,0.25
2006-10-01,4.8,4.5,433779.0,1.36
2007-01-01,4.9,4.5,218860.0,1.29
2007-04-01,5.9,4.5,216567.0,0.32
2007-07-01,5.5,5.0,195821.0,0.39
2007-10-01,6.8,5.0,236685.0,0.54
2008-01-01,5.8,5.0,229130.0,0.48
2008-04-01,4.4,5.0,305229.0,1.2
2008-07-01,4.0,5.25,214208.0,0.74
2008-10-01,-1.7,3.0,145223.0,0.0
2009-01-01,-1.8,2.0,150595.0,-0.55
2009-04-01,-1.2,2.0,220877.0,0.06
2009-07-01,0.9,2.0,256792.0,0.28
2009-10-01,5.2,2.0,242089.0,0.37
2010-01-01,7.3,2.0,197754.0,0.13
2010-04-01,7.9,2.0,193046.0,0.17
2010-07-01,5.8,2.25,157194.0,-0.16
2010-10-01,6.3,2.5,251870.0,0.17
2011-01-01,5.4,3.0,242969.0,0.41
2011-04-01,3.8,3.25,258145.0,1.14
2011-07-01,3.1,3.25,217479.0,0.4
2011-10-01,2.6,3.25,262645.0,0.36
2012-01-01,2.4,3.25,151376.0,0.24
2012-04-01,2.4,3.25,192624.0,-0.06
2012-07-01,2.3,3.0,144471.0,-0.27
2012-10-01,2.5,2.75,246943.0,-0.19
2013-01-01,2.3,2.75,140976.0,-0.26
2013-04-01,2.9,2.5,299546.0,0.12
2013-07-01,3.5,2.5,142927.0,-0.07
2013-10-01,3.9,2.5,268401.0,0.29
2014-01-01,3.8,2.5,228305.0,0.24
2014-04-01,3.4,2.5,244953.0,0.06
2014-07-01,3.1,2.25,240360.0,0.04
2014-10-01,2.6,2.0,291555.0,0.24
2015-01-01,2.4,1.75,270053.0,0.14
2015-04-01,2.0,1.5,340743.0,0.43
2015-07-01,3.3,1.5,290937.0,0.28
2015-10-01,3.4,1.5,291958.0,0.33
2016-01-01,2.8,1.5,199483.0,0.04
2016-04-01,3.6,1.25,268176.0,0.02
2016-07-01,2.8,1.25,285320.0,0.04
2016-10-01,2.6,1.25,300090.0,0.17
2017-01-01,3.1,1.25,199333.0,0.02
2017-04-01,2.8,1.25,258425.0,0.1
2017-07-01,3.9,1.25,279342.0,0.18
2017-10-01,2.9,1.5,210004.0,0.13
2018-01-01,2.9,1.5,232828.0,0.14
2018-04-01,3.1,1.5,204567.0,0.06
2018-07-01,2.4,1.5,205773.0,-0.02
2018-10-01,3.2,1.75,213051.0,0.19
2019-01-01,1.9,1.75,145087.0,-0.15
2019-04-01,2.3,1.75,169021.0,-0.21
2019-07-01,2.1,1.5,197943.0,-0.09
2019-10-01,2.7,1.25,293221.0,0.12
2020-01-01,1.4,0.75,325275.0,0.28
2020-04-01,-2.6,0.5,295603.0,0.27
2020-07-01,-0.9,0.5,308619.0,0.61
2020-10-01,-0.7,0.5,349808.0,0.32
2021-01-01,2.4,0.5,279809.0,0.79
2021-04-01,6.4,0.5,279514.0,0.71
2021-07-01,4.1,0.75,259625.0,0.85
2021-10-01,4.3,1.0,196223.0,0.88
2022-01-01,3.1,1.25,138349.0,0.1
2022-04-01,2.9,1.75,171911.0,0.06
2022-07-01,3.2,2.5,107534.0,-0.08
2022-10-01,1.4,3.25,90996.0,-0.77
2023-01-01,0.9,3.5,119285.0,-1.49
2023-04-01,0.9,3.5,155323.0,-0.47
